1,32,32768,2.16653
2,32,65536,1.15223
4,32,131072,3.1652
8,32,262144,2.28886
16,32,524288,2.60799
32,32,1048576,3.78164
64,32,2097152,3.78632
1,64,16384,2.67521
2,64,32768,3.79305
4,64,65536,4.65525
8,64,131072,5.18791
16,64,262144,5.98934
32,64,524288,6.01545
64,64,1048576,6.44166
1,128,8192,3.37274
2,128,16384,0.625122
4,128,32768,6.33724
8,128,65536,7.31332
16,128,131072,7.99282
32,128,262144,9.06405
64,128,524288,8.8209
1,256,4096,2.97769
2,256,8192,4.51777
4,256,16384,5.46851
8,256,32768,6.55447
16,256,65536,7.35844
32,256,131072,7.85059
64,256,262144,8.1049
